category_name,avg_engagement_rate,total_views,num_records
Music,0.051426221521131306,40132892190,6472
Howto & Style,0.05088288639971904,4078545064,4146
Comedy,0.04910212620813458,5117426208,3457
People & Blogs,0.04666377785078129,4917187953,3206
Nonprofits & Activism,0.04520991118387644,168941392,57
Gaming,0.04475865302324684,2141218625,817
Education,0.042290552678695977,1180629217,1655
Pets & Animals,0.03748593943118814,764651989,920
Science & Technology,0.03475539379086561,3487755833,2400
Entertainment,0.032427159251543894,20604386410,9962
Film & Animation,0.030993357268826748,7284155778,2344
Shows,0.025872740668691236,51501058,57
Travel & Events,0.024480282341232323,343555378,400
Autos & Vehicles,0.020393772235454025,520690717,384
News & Politics,0.01911836018344718,1473760829,2480
Sports,0.01791819753844427,4404450302,2166
