channel_title,total_views,total_engagement,avg_engagement_rate,num_videos
ibighit,2235906679,231064585,0.1518069568455716,80
ChildishGambinoVEVO,3758488765,106852107,0.030604696876740695,25
Dude Perfect,1870085178,64284720,0.03470219838009481,131
Marvel Entertainment,1808998971,62326904,0.03754769312414764,125
ArianaGrandeVevo,1576959172,56466303,0.05325047138219305,43
jypentertainment,1486972132,52476420,0.04687122513533996,64
Logan Paul Vlogs,484356303,46415660,0.10149949113106288,24
TaylorSwiftVEVO,1010955662,42645451,0.0572277873293125,49
Ed Sheeran,1032288961,41229712,0.04711094064361614,47
SMTOWN,345614221,34572548,0.11604037578712927,72
ZaynVEVO,838561451,33840241,0.04629830446962901,39
Sony Pictures Entertainment,1432374398,33640359,0.017280914826656356,88
nigahiga,590616191,31599165,0.06401308626100688,89
BANGTANTV,222708704,30587357,0.15548346742672775,39
Safiya Nygaard,528434394,29764136,0.0550915905201932,139
Cardi B,1026247756,28417727,0.03731459274681199,30
ShawnMendesVEVO,442730335,26917112,0.07981446999340339,58
YouTube Spotlight,791388476,26668478,0.06717193647249381,18
20th Century Fox,1082872611,25928676,0.02270573446530739,135
FoxStarHindi,1238609854,25545285,0.02115080580253786,32
EminemVEVO,478395133,24898096,0.05900961110304237,33
Maroon5VEVO,516169845,24646796,0.055481059035294565,34
MalumaVEVO,1551515831,24506014,0.018955639500946864,32
James Charles,308971512,22377449,0.08376245167733647,118
Selena Gomez,818792483,21168216,0.03787172550249124,28
Kurzgesagt – In a Nutshell,338422896,21135470,0.06448123313312416,115
Diplo,700357966,20925624,0.03756923399374214,54
Lucas the Spider,414149390,20612701,0.054426958695830224,72
BeckyGVEVO,1182971286,20362149,0.022447135649580854,20
BuzzFeed Celeb,275753410,20324847,0.06340047698418436,57
David Dobrik,255451991,19211475,0.07680917892001399,9
NikkieTutorials,250831472,19159703,0.0767202609377136,109
CalvinHarrisVEVO,1042564430,18547336,0.02635576230446903,43
jacksfilms,199608855,18065502,0.08824944600281347,148
Liza Koshy,198176404,17808854,0.09150967886553156,45
TheWeekndVEVO,778810304,17771226,0.030617457747048184,19
SelenaGomezVEVO,319264683,17721375,0.07252465315520205,27
LuisFonsiVEVO,534738794,17624853,0.06306402465260033,10
Lele Pons,380567124,17123591,0.044844129371486456,68
FifthHarmonyVEVO,385305225,16709556,0.051997069790738974,26
NickiMinajAtVEVO,478247584,16606773,0.04261897965849767,40
CamilaCabelloVEVO,323947707,16229870,0.06467514968041395,33
PTXofficial,281683953,16083356,0.06005538934613318,90
JennaMarbles,161428450,15908455,0.09687696033902791,57
How Ridiculous,612065519,15816555,0.03387757665963489,75
Call of Duty,315404711,15778024,0.05053098446558749,41
Bad Lip Reading,476570575,15674823,0.038469624145937666,92
Hannah Stocking,441704392,15664010,0.04031741404246041,102
ChainsmokersVEVO,427248452,15243888,0.04833452388327876,54
JenniferLopezVEVO,819466359,15219134,0.022053056380458635,44
