video_id,title,channel_title,views,likes,comment_count,engagement,engagement_rate
7C2z4GqqS5E,BTS (방탄소년단) 'FAKE LOVE' Official MV,ibighit,123010920,5613827,1228655,6842482,0.05562499654502218
7C2z4GqqS5E,BTS (방탄소년단) 'FAKE LOVE' Official MV,ibighit,121219886,5595203,1225326,6820529,0.0562657598935541
7C2z4GqqS5E,BTS (방탄소년단) 'FAKE LOVE' Official MV,ibighit,115664850,5530568,1213172,6743740,0.058304143393606615
7C2z4GqqS5E,BTS (방탄소년단) 'FAKE LOVE' Official MV,ibighit,111882133,5486349,1204867,6691216,0.05980593880883554
7C2z4GqqS5E,BTS (방탄소년단) 'FAKE LOVE' Official MV,ibighit,107756615,5439015,1197130,6636145,0.06158457186131914
7C2z4GqqS5E,BTS (방탄소년단) 'FAKE LOVE' Official MV,ibighit,103786733,5386959,1189456,6576415,0.06336469806791202
7C2z4GqqS5E,BTS (방탄소년단) 'FAKE LOVE' Official MV,ibighit,98637739,5321402,1165350,6486752,0.06576338900063393
7C2z4GqqS5E,BTS (방탄소년단) 'FAKE LOVE' Official MV,ibighit,92054928,5232318,1163977,6396295,0.06948346100493392
7C2z4GqqS5E,BTS (방탄소년단) 'FAKE LOVE' Official MV,ibighit,87430865,5150831,1142269,6293100,0.07197801371403566
7C2z4GqqS5E,BTS (방탄소년단) 'FAKE LOVE' Official MV,ibighit,80738011,5053329,1114809,6168138,0.07639695260761378
7C2z4GqqS5E,BTS (방탄소년단) 'FAKE LOVE' Official MV,ibighit,73463137,4924045,1084421,6008466,0.08178885690655982
7C2z4GqqS5E,BTS (방탄소년단) 'FAKE LOVE' Official MV,ibighit,65396157,4750245,1040912,5791157,0.0885550048453153
VYOjWnS4cMY,Childish Gambino - This Is America (Official Video),ChildishGambinoVEVO,225211923,5023450,517232,5540682,0.024602081125163166
VYOjWnS4cMY,Childish Gambino - This Is America (Official Video),ChildishGambinoVEVO,220490543,4962403,512337,5474740,0.024829817757762065
VYOjWnS4cMY,Childish Gambino - This Is America (Official Video),ChildishGambinoVEVO,217750076,4934188,509799,5443987,0.02500107967815359
7C2z4GqqS5E,BTS (방탄소년단) 'FAKE LOVE' Official MV,ibighit,62796390,4470888,905912,5376800,0.08562275633997432
VYOjWnS4cMY,Childish Gambino - This Is America (Official Video),ChildishGambinoVEVO,210338856,4836448,501722,5338170,0.025378905740554184
VYOjWnS4cMY,Childish Gambino - This Is America (Official Video),ChildishGambinoVEVO,205643016,4776680,496211,5272891,0.02564099234957729
VYOjWnS4cMY,Childish Gambino - This Is America (Official Video),ChildishGambinoVEVO,200820941,4714942,491005,5205947,0.025923327388451985
VYOjWnS4cMY,Childish Gambino - This Is America (Official Video),ChildishGambinoVEVO,196222618,4656929,485797,5142726,0.02620863003672696
VYOjWnS4cMY,Childish Gambino - This Is America (Official Video),ChildishGambinoVEVO,190950401,4594931,479917,5074848,0.026576786293316033
VYOjWnS4cMY,Childish Gambino - This Is America (Official Video),ChildishGambinoVEVO,184446490,4512326,473039,4985365,0.027028787590373773
VYOjWnS4cMY,Childish Gambino - This Is America (Official Video),ChildishGambinoVEVO,179045286,4437175,466470,4903645,0.02738773586030073
VYOjWnS4cMY,Childish Gambino - This Is America (Official Video),ChildishGambinoVEVO,173478072,4360121,460299,4820420,0.027786912457731256
VYOjWnS4cMY,Childish Gambino - This Is America (Official Video),ChildishGambinoVEVO,167997997,4281819,453206,4735025,0.028185008658168705
VYOjWnS4cMY,Childish Gambino - This Is America (Official Video),ChildishGambinoVEVO,162556776,4202645,446165,4648810,0.028598069636912582
7C2z4GqqS5E,BTS (방탄소년단) 'FAKE LOVE' Official MV,ibighit,39349927,3880071,692305,4572376,0.11619782674565063
VYOjWnS4cMY,Childish Gambino - This Is America (Official Video),ChildishGambinoVEVO,156612892,4110879,437053,4547932,0.029039320722076954
VYOjWnS4cMY,Childish Gambino - This Is America (Official Video),ChildishGambinoVEVO,149830680,4002473,426810,4429283,0.029561922831825897
VYOjWnS4cMY,Childish Gambino - This Is America (Official Video),ChildishGambinoVEVO,142421830,3885070,414109,4299179,0.030186236197077373
VYOjWnS4cMY,Childish Gambino - This Is America (Official Video),ChildishGambinoVEVO,134839555,3749810,398351,4148161,0.030763680583193856
VYOjWnS4cMY,Childish Gambino - This Is America (Official Video),ChildishGambinoVEVO,126191952,3587455,377394,3964849,0.03141919066280867
FlsCjmMhFmw,YouTube Rewind: The Shape of 2017 | #YouTubeRewind,YouTube Spotlight,149376127,3093544,810698,3904242,0.026136987739680786
FlsCjmMhFmw,YouTube Rewind: The Shape of 2017 | #YouTubeRewind,YouTube Spotlight,137843120,3014471,817582,3832053,0.027800103479956054
VYOjWnS4cMY,Childish Gambino - This Is America (Official Video),ChildishGambinoVEVO,116581406,3388289,354187,3742476,0.032101825912101284
FlsCjmMhFmw,YouTube Rewind: The Shape of 2017 | #YouTubeRewind,YouTube Spotlight,125432237,2912702,807558,3720260,0.02965952046282966
FlsCjmMhFmw,YouTube Rewind: The Shape of 2017 | #YouTubeRewind,YouTube Spotlight,113874632,2811215,787174,3598389,0.0315995664425067
VYOjWnS4cMY,Childish Gambino - This Is America (Official Video),ChildishGambinoVEVO,98938809,3037293,319502,3356795,0.03392799078468794
