token,freq
the,10021
to,4307
official,3991
in,3423
of,3171
video,2864
with,2834
on,2412
and,2358
2018,2297
my,2041
trailer,2000
you,1892
how,1863
for,1788
is,1723
ft,1301
from,1258
it,1207
at,1138
what,1106
vs,1046
2017,1010
new,1006
this,952
me,952
makeup,876
audio,872
music,838
we,831
hd,796
live,790
first,751
why,704
day,697
10,672
challenge,670
by,645
out,632
full,621
game,604
black,593
your,585
star,572
world,571
lyric,569
make,569
about,567
show,566
up,563
time,562
that,550
love,535
all,531
her,528
are,513
movie,509
his,508
do,499
season,482
best,468
teaser,462
can,450
christmas,443
one,442
like,436
life,427
will,423
test,422
super,422
review,421
most,411
james,409
get,406
wars,402
last,395
don,393
more,389
house,388
or,386
diy,380
year,376
news,371
not,370
feat,368
face,366
john,365
ever,364
no,355
made,353
bowl,353
things,351
man,349
be,348
highlights,348
real,344
cat,339
american,338
so,337
top,336
cake,336
perfect,333
look,329
trump,324
down,322
watch,322
food,321
react,312
000,308
if,305
an,301
talk,299
big,298
who,297
as,297
inside,297
bts,296
making,288
night,288
awards,286
tried,283
after,280
off,278
part,277
everything,275
battle,274
giant,273
home,272
every,271
our,268
week,267
beauty,266
tutorial,263
cardi,263
snl,261
wedding,260
people,259
trailers,258
episode,257
when,257
have,256
go,253
box,251
got,251
youtube,250
voice,247
kids,246
questions,245
take,245
ball,240
war,239
apple,238
into,236
does,232
espn,229
back,228
cast,227
nba,227
was,226
honest,226
jedi,224
smith,223
tour,223
old,222
know,222
mom,222
netflix,222
bad,222
nfl,220
makes,215
goes,215
school,215
meghan,214
dog,214
infinity,213
here,213
commercial,212
panther,212
song,210
try,210
story,207
tbs,207
royal,207
never,206
adam,205
he,205
girl,203
kevin,203
chocolate,202
over,201
has,201
kardashian,200
their,199
re,198
tv,198
18,198
room,198
ready,196
michael,192
makeover,191
vogue,190
hot,190
hart,189
kim,189
iphone,189
grace,188
scenes,188
true,188
wrong,188
bbc,188
theory,187
studios,186
being,186
behind,185
slow,184
dead,184
baby,184
us,183
golden,183
high,183
disney,182
red,182
scene,182
chris,181
should,181
wired,181
mendes,180
ice,180
getting,180
white,180
march,180
hair,179
wild,178
let,177
special,175
boy,174
car,173
stephen,172
final,172
blind,172
avengers,170
marvel,170
scott,169
film,169
cooking,169
shawn,169
prince,168
cry,168
history,168
now,167
secret,167
just,167
king,167
heart,166
lip,166
app,165
nbc,165
minutes,164
call,164
during,164
interview,164
fair,163
gets,163
see,163
national,163
again,163
fan,162
america,162
fake,161
holiday,161
artist,161
light,161
family,160
spider,160
line,159
breaks,158
google,158
open,158
mv,157
fox,157
taylor,157
camila,157
miss,156
jennifer,156
dad,155
earth,155
lost,155
league,155
simon,154
him,152
did,152
good,151
justin,150
hbo,150
30,149
graham,149
little,149
plays,148
amazon,148
bought,148
bon,147
24,147
fashion,147
reveal,146
ed,146
stars,146
shopping,145
vanity,145
ep,144
meet,144
15,144
idol,143
dude,143
space,143
cabello,143
through,142
conan,141
today,141
doctor,141
babish,140
4k,140
charlie,140
years,139
kitchen,139
jordan,139
dance,139
tom,138
spot,138
performance,138
falcon,137
she,136
products,136
shooting,135
lebron,135
david,135
routine,135
kelly,135
announcement,135
16,134
stop,134
using,133
motion,133
only,133
left,133
tit,132
swift,132
huge,132
press,131
fire,131
lovato,130
girls,130
demi,130
hannah,130
coming,129
million,128
ad,127
japanese,127
sean,126
jenner,126
but,126
team,126
actually,126
brown,125
sheeran,125
taste,125
pizza,125
breaking,124
cut,124
harry,124
jimmy,123
raw,123
cover,123
markle,122
too,122
hawaii,122
suck,122
olympics,121
need,121
deep,121
kylie,121
100,120
while,120
much,120
gadgets,120
days,119
without,119
same,118
heavy,118
theaters,118
explained,118
sports,118
fortnite,118
remix,118
before,118
college,117
water,117
norton,117
13,117
name,117
they,116
florida,116
vlog,116
less,116
view,116
internet,115
kate,114
twice,114
machine,114
paul,114
solo,113
stocking,113
greatest,113
eating,112
11,112
nick,112
come,112
hit,111
collection,111
galaxy,110
blood,109
talks,109
anthem,109
money,109
hydraulic,109
mo,109
reading,109
speech,108
fall,108
deadpool,108
oscars,108
following,108
laugh,108
sam,107
two,107
14,107
la,107
animated,107
50,107
dream,107
surprise,107
helbig,106
answers,106
original,106
won,106
expensive,106
really,106
future,106
birthday,106
between,105
volcano,105
trying,105
store,105
president,104
dan,104
found,104
french,104
party,104
daily,104
cup,104
ones,104
some,103
young,103
pictures,103
spicy,103
these,103
mystery,103
musical,103
takes,103
samsung,103
trick,103
bill,103
tries,102
women,102
mon,102
death,102
lil,102
instagram,102
pentatonix,102
minaj,101
complex,101
launch,101
